,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
0,SBBV,2024-12-22 02:00:00,7,51,14,27,,1,CAVOK,n,9999,,2024-12-22 06:00:00
1,SBBV,2024-12-22 05:00:00,8,54,14,26,,2,FEW,n,9999,,2024-12-22 09:00:00
2,SBBV,2024-12-22 08:00:00,9,50,18,27,,1,CAVOK,n,9999,,2024-12-22 12:00:00
3,SBBV,2024-12-22 11:00:00,10,61,24,32,,2,FEW,n,9999,,2024-12-22 15:00:00
4,SBBV,2024-12-22 14:00:00,7,68,20,35,,4,SCT,n,9999,,2024-12-22 18:00:00
5,SBBV,2024-12-22 17:00:00,5,75,18,32,0.4,18,SCT,n,7000,,2024-12-22 21:00:00
6,SBBV,2024-12-22 20:00:00,5,97,11,29,,1,CAVOK,n,9999,,2024-12-23 00:00:00
7,SBBV,2024-12-22 23:00:00,9,62,17,28,,2,FEW,n,9999,,2024-12-23 03:00:00
8,SBBV,2024-12-23 02:00:00,8,54,16,26,,2,FEW,n,9999,,2024-12-23 06:00:00
9,SBBV,2024-12-23 05:00:00,8,53,15,25,,1,CAVOK,n,9999,,2024-12-23 09:00:00
10,SBBV,2024-12-23 08:00:00,11,59,21,28,,3,SCT,n,9999,,2024-12-23 12:00:00
11,SBBV,2024-12-23 11:00:00,8,59,23,32,,4,SCT,n,9999,,2024-12-23 15:00:00
12,SBBV,2024-12-23 14:00:00,5,75,18,34,,4,SCT,n,9999,,2024-12-23 18:00:00
13,SBBV,2024-12-23 17:00:00,7,63,14,32,,3,SCT,n,9999,,2024-12-23 21:00:00
14,SBBV,2024-12-23 20:00:00,6,58,14,30,,2,FEW,n,9999,,2024-12-24 00:00:00
15,SBBV,2024-12-23 23:00:00,9,59,17,28,1.1,21,BKN,s,7000,TS,2024-12-24 03:00:00
16,SBBV,2024-12-24 02:00:00,8,52,16,26,,3,SCT,n,9999,,2024-12-24 06:00:00
17,SBBV,2024-12-24 05:00:00,7,51,14,25,0.4,19,BKN,n,4000,BR,2024-12-24 09:00:00
18,SBBV,2024-12-24 08:00:00,8,53,16,27,,2,FEW,n,9999,,2024-12-24 12:00:00
19,SBBV,2024-12-24 11:00:00,9,56,22,32,,3,SCT,n,9999,,2024-12-24 15:00:00
20,SBBV,2024-12-24 14:00:00,7,66,19,34,,2,FEW,n,9999,,2024-12-24 18:00:00
21,SBBV,2024-12-24 17:00:00,6,76,17,33,,1,CAVOK,n,9999,,2024-12-24 21:00:00
22,SBBV,2024-12-24 20:00:00,5,140,12,29,,3,SCT,n,9999,,2024-12-25 00:00:00
23,SBBV,2024-12-24 23:00:00,2,194,10,26,,1,CAVOK,n,9999,,2024-12-25 03:00:00
24,SBBV,2024-12-25 02:00:00,2,297,9,25,,2,FEW,n,9999,,2024-12-25 06:00:00
25,SBBV,2024-12-25 05:00:00,4,67,6,25,,2,FEW,n,9999,,2024-12-25 09:00:00
26,SBBV,2024-12-25 08:00:00,9,55,17,27,,1,CAVOK,n,9999,,2024-12-25 12:00:00
27,SBBV,2024-12-25 11:00:00,9,51,20,32,,2,FEW,n,9999,,2024-12-25 15:00:00
28,SBBV,2024-12-25 14:00:00,8,63,19,34,,4,SCT,n,9999,,2024-12-25 18:00:00
29,SBBV,2024-12-25 17:00:00,6,52,17,34,,4,SCT,n,9999,,2024-12-25 21:00:00
30,SBBV,2024-12-25 20:00:00,7,90,12,30,,2,FEW,n,9999,,2024-12-26 00:00:00
31,SBBV,2024-12-25 23:00:00,9,75,17,29,,3,SCT,n,9999,,2024-12-26 03:00:00
32,SBBV,2024-12-26 02:00:00,8,62,16,27,,2,FEW,n,9999,,2024-12-26 06:00:00
33,SBBV,2024-12-26 05:00:00,7,59,14,26,,2,FEW,n,9999,,2024-12-26 09:00:00
34,SBBV,2024-12-26 08:00:00,10,57,19,28,,3,SCT,n,9999,,2024-12-26 12:00:00
