,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
0,SBBV,2024-12-22 02:00:00,4,45,7,27,,2,FEW,n,9999,,2024-12-22 06:00:00
1,SBBV,2024-12-22 05:00:00,6,57,11,26,,1,CAVOK,n,9999,,2024-12-22 09:00:00
2,SBBV,2024-12-22 08:00:00,8,54,15,28,,2,FEW,n,9999,,2024-12-22 12:00:00
3,SBBV,2024-12-22 11:00:00,9,65,19,32,,3,SCT,n,9999,,2024-12-22 15:00:00
4,SBBV,2024-12-22 14:00:00,7,72,16,33,,3,SCT,n,9999,,2024-12-22 18:00:00
5,SBBV,2024-12-22 17:00:00,5,69,15,33,,3,SCT,n,9999,,2024-12-22 21:00:00
6,SBBV,2024-12-22 20:00:00,4,76,8,30,,3,SCT,n,9999,,2024-12-23 00:00:00
7,SBBV,2024-12-22 23:00:00,5,60,10,28,,2,FEW,n,9999,,2024-12-23 03:00:00
8,SBBV,2024-12-23 02:00:00,6,52,12,27,,3,SCT,n,9999,,2024-12-23 06:00:00
9,SBBV,2024-12-23 05:00:00,6,56,12,26,,3,SCT,n,9999,,2024-12-23 09:00:00
10,SBBV,2024-12-23 08:00:00,8,55,14,28,,2,FEW,n,9999,,2024-12-23 12:00:00
11,SBBV,2024-12-23 11:00:00,9,61,19,31,,3,SCT,n,9999,,2024-12-23 15:00:00
12,SBBV,2024-12-23 14:00:00,6,69,16,34,,3,SCT,n,9999,,2024-12-23 18:00:00
13,SBBV,2024-12-23 17:00:00,6,83,14,33,,3,SCT,n,9999,,2024-12-23 21:00:00
14,SBBV,2024-12-23 20:00:00,3,85,8,30,0.3,19,BKN,n,4000,BR,2024-12-24 00:00:00
15,SBBV,2024-12-23 23:00:00,7,54,12,28,,3,SCT,n,9999,,2024-12-24 03:00:00
16,SBBV,2024-12-24 02:00:00,6,58,11,27,,3,SCT,n,9999,,2024-12-24 06:00:00
17,SBBV,2024-12-24 05:00:00,5,61,10,26,,3,SCT,n,9999,,2024-12-24 09:00:00
18,SBBV,2024-12-24 08:00:00,7,60,13,27,,3,SCT,n,9999,,2024-12-24 12:00:00
19,SBBV,2024-12-24 11:00:00,9,57,19,31,,3,SCT,n,9999,,2024-12-24 15:00:00
20,SBBV,2024-12-24 14:00:00,7,61,16,33,,3,SCT,n,9999,,2024-12-24 18:00:00
21,SBBV,2024-12-24 17:00:00,7,81,13,33,,3,SCT,n,9999,,2024-12-24 21:00:00
22,SBBV,2024-12-24 20:00:00,3,81,6,30,,3,SCT,n,9999,,2024-12-25 00:00:00
23,SBBV,2024-12-24 23:00:00,5,69,8,28,,3,SCT,n,9999,,2024-12-25 03:00:00
24,SBBV,2024-12-25 02:00:00,5,67,10,27,,3,SCT,n,9999,,2024-12-25 06:00:00
25,SBBV,2024-12-25 05:00:00,5,70,10,26,,3,SCT,n,9999,,2024-12-25 09:00:00
26,SBBV,2024-12-25 08:00:00,8,61,15,27,,3,SCT,n,9999,,2024-12-25 12:00:00
27,SBBV,2024-12-25 11:00:00,10,53,20,32,,3,SCT,n,9999,,2024-12-25 15:00:00
28,SBBV,2024-12-25 14:00:00,8,54,17,34,,3,SCT,n,9999,,2024-12-25 18:00:00
29,SBBV,2024-12-25 17:00:00,6,66,15,34,,3,SCT,n,9999,,2024-12-25 21:00:00
30,SBBV,2024-12-25 20:00:00,5,63,10,31,,2,FEW,n,9999,,2024-12-26 00:00:00
31,SBBV,2024-12-25 23:00:00,5,69,10,28,,3,SCT,n,9999,,2024-12-26 03:00:00
32,SBBV,2024-12-26 02:00:00,3,83,7,27,,3,SCT,n,9999,,2024-12-26 06:00:00
33,SBBV,2024-12-26 05:00:00,6,62,10,26,,3,SCT,n,9999,,2024-12-26 09:00:00
34,SBBV,2024-12-26 08:00:00,8,67,15,27,,3,SCT,n,9999,,2024-12-26 12:00:00
35,SBBV,2024-12-26 11:00:00,9,53,18,32,,3,SCT,n,9999,,2024-12-26 15:00:00
36,SBBV,2024-12-26 14:00:00,7,47,16,35,,3,SCT,n,9999,,2024-12-26 18:00:00
37,SBBV,2024-12-26 17:00:00,6,68,13,34,,3,SCT,n,9999,,2024-12-26 21:00:00
38,SBBV,2024-12-26 20:00:00,3,109,6,31,,2,FEW,n,9999,,2024-12-27 00:00:00
39,SBBV,2024-12-26 23:00:00,4,77,7,28,,2,FEW,n,9999,,2024-12-27 03:00:00
40,SBBV,2024-12-27 02:00:00,3,83,6,27,,3,SCT,n,9999,,2024-12-27 06:00:00
41,SBBV,2024-12-27 05:00:00,3,70,6,26,,3,SCT,n,9999,,2024-12-27 09:00:00
42,SBBV,2024-12-27 08:00:00,6,66,12,28,,2,FEW,n,9999,,2024-12-27 12:00:00
43,SBBV,2024-12-27 11:00:00,8,58,16,33,,3,SCT,n,9999,,2024-12-27 15:00:00
44,SBBV,2024-12-27 14:00:00,6,61,12,35,,3,SCT,n,9999,,2024-12-27 18:00:00
45,SBBV,2024-12-27 17:00:00,6,86,11,34,,3,SCT,n,9999,,2024-12-27 21:00:00
46,SBBV,2024-12-27 20:00:00,4,110,9,31,,3,SCT,n,9999,,2024-12-28 00:00:00
47,SBEG,2024-12-22 02:00:00,1,244,2,27,,3,SCT,n,9999,,2024-12-22 06:00:00
48,SBEG,2024-12-22 05:00:00,2,196,3,26,,3,SCT,n,9999,,2024-12-22 09:00:00
49,SBEG,2024-12-22 08:00:00,3,161,7,28,,3,SCT,n,9999,,2024-12-22 12:00:00
50,SBEG,2024-12-22 11:00:00,3,135,17,32,,3,SCT,n,9999,,2024-12-22 15:00:00
