estacao,datahora,wspd,wdir,gust,dryt,dewp,pres,vis,tp,altn1,qn1,altn2,qn2,altn3,qn3,altn4,qn4,altncb,qncb,metar,speci,data_hora
SBAT,01/01/2025 11:00,4.0,110.0,,25.0,24.0,1012.0,8000.0,,8.0,SCT,80.0,BKN,,,,,,,-,SPECI SBAT 011115Z 11004KT 8000 SCT008 BKN080 25/24 Q1012=,01/01/2025 11:00
SBAT,01/01/2025 12:00,2.0,130.0,,26.0,23.0,1013.0,9999.0,,10.0,SCT,80.0,BKN,,,,,,,METAR SBAT 011200Z 13002KT 9999 SCT010 BKN080 26/23 Q1013=,-,01/01/2025 12:00
SBAT,01/01/2025 13:00,2.0,90.0,,28.0,24.0,1014.0,9999.0,,15.0,SCT,90.0,BKN,,,,,,,METAR SBAT 011300Z 09002KT 9999 SCT015 BKN090 28/24 Q1014=,-,01/01/2025 13:00
SBAT,01/01/2025 14:00,4.0,40.0,,29.0,24.0,1014.0,9999.0,,18.0,BKN,90.0,BKN,,,,,,,METAR SBAT 011400Z 04004KT 9999 BKN018 BKN090 29/24 Q1014=,-,01/01/2025 14:00
SBAT,01/01/2025 14:00,8.0,70.0,,27.0,23.0,1009.0,9999.0,SHRA,20.0,SCT,,,,,,,035,FEW,-,SPECI SBAT 011425Z 07008KT 9999 2000NE SHRA TS SCT020 FEW035CB 27/23 Q1009=,01/01/2025 14:00
SBAT,01/01/2025 15:00,3.0,50.0,,32.0,23.0,1013.0,9999.0,,20.0,BKN,100.0,SCT,,,,,,,METAR SBAT 011500Z 05003KT 9999 BKN020 SCT100 32/23 Q1013=,-,01/01/2025 15:00
SBAT,01/01/2025 16:00,3.0,30.0,,32.0,24.0,1012.0,9999.0,,25.0,BKN,100.0,SCT,,,,,,,METAR SBAT 011600Z 03003KT 9999 BKN025 SCT100 32/24 Q1012=,-,01/01/2025 16:00
SBAT,01/01/2025 17:00,6.0,340.0,,30.0,23.0,1010.0,9999.0,,30.0,BKN,100.0,SCT,,,,,,,METAR SBAT 011700Z 34006KT 9999 BKN030 SCT100 30/23 Q1010=,-,01/01/2025 17:00
SBAT,01/01/2025 18:00,2.0,320.0,,28.0,25.0,1009.0,9999.0,VCSH,30.0,FEW,,,,,,,035T,FEW,METAR SBAT 011800Z 32002KT 9999 VCSH FEW030 FEW035TCU 28/25 Q1009=,-,01/01/2025 18:00
SBAT,01/01/2025 18:00,8.0,70.0,,27.0,23.0,1009.0,9999.0,SHRA,20.0,SCT,,,,,,,035,FEW,-,SPECI SBAT 011825Z 07008KT 9999 2000NE SHRA TS SCT020 FEW035CB 27/23 Q1009=,01/01/2025 18:00
SBAT,01/01/2025 19:00,5.0,330.0,,25.0,23.0,1009.0,8000.0,-TSRA,20.0,SCT,,,,,,,035,FEW,METAR SBAT 011900Z 33005KT 8000 -TSRA SCT020 FEW035CB 25/23 Q1009 RESHRA=,-,01/01/2025 19:00
SBAT,01/01/2025 20:00,4.0,260.0,,25.0,23.0,1009.0,9999.0,,30.0,SCT,,,,,,,,,METAR SBAT 012000Z 26004KT 9999 SCT030 25/23 Q1009 RETSRA=,-,01/01/2025 20:00
SBAT,01/01/2025 20:00,4.0,270.0,,25.0,23.0,1009.0,9999.0,,30.0,SCT,,,,,,,,,-,SPECI SBAT 012045Z 27004KT 9999 SCT030 25/23 Q1009=,01/01/2025 20:00
SBAT,02/01/2025 11:00,3.0,240.0,,24.0,23.0,1014.0,5000.0,-RA,15.0,SCT,80.0,BKN,,,,,,,-,SPECI SBAT 021115Z 24003KT 5000 -RA SCT015 BKN080 24/23 Q1014=,02/01/2025 11:00
SBAT,02/01/2025 12:00,4.0,150.0,,24.0,23.0,1015.0,5000.0,-RA,15.0,BKN,80.0,BKN,,,,,,,METAR SBAT 021200Z 15004KT 5000 -RA BKN015 BKN080 24/23 Q1015=,-,02/01/2025 12:00
SBAT,02/01/2025 13:00,1.0,160.0,,24.0,23.0,1015.0,8000.0,-RA,15.0,BKN,80.0,BKN,,,,,,,METAR SBAT 021300Z 16001KT 8000 -RA BKN015 BKN080 24/23 Q1015=,-,02/01/2025 13:00
SBAT,02/01/2025 14:00,4.0,150.0,,26.0,23.0,1015.0,9999.0,,15.0,SCT,80.0,BKN,,,,,,,METAR SBAT 021400Z 15004KT 9999 SCT015 BKN080 26/23 Q1015=,-,02/01/2025 14:00
